kuerzel;klasse;listennummer;aktiv;fach
3L-01;3L;1;TRUE;DE
3L-11;3L;2;TRUE;DE
3L-09;3L;3;TRUE;DE
3L-10;3L;4;TRUE;DE
3L-04;3L;5;TRUE;DE
3L-03;3L;6;TRUE;DE
3L-05;3L;7;TRUE;DE
3L-13;3L;8;TRUE;DE
3L-14;3L;9;TRUE;DE
3L-23;3L;10;TRUE;DE
3L-07;3L;11;TRUE;DE
3L-22;3L;12;TRUE;DE
3L-08;3L;13;TRUE;DE
3L-16;3L;14;TRUE;DE
3L-06;3L;15;TRUE;DE
3L-20;3L;16;TRUE;DE
3L-21;3L;17;TRUE;DE
3L-17;3L;18;TRUE;DE
3L-18;3L;19;TRUE;DE
3L-02;3L;20;TRUE;DE
3L-15;3L;21;TRUE;DE
3L-12;3L;22;TRUE;DE
3L-19;3L;23;TRUE;DE
3M-05;3M;1;TRUE;DE
3M-23;3M;2;TRUE;DE
3M-03;3M;3;TRUE;DE
3M-18;3M;4;TRUE;DE
3M-02;3M;5;TRUE;DE
3M-04;3M;6;TRUE;DE
3M-11;3M;7;TRUE;DE
3M-21;3M;8;TRUE;DE
3M-12;3M;9;TRUE;DE
3M-09;3M;10;TRUE;DE
3M-15;3M;11;TRUE;DE
3M-17;3M;12;TRUE;DE
3M-19;3M;13;TRUE;DE
3M-13;3M;14;TRUE;DE
3M-10;3M;15;TRUE;DE
3M-08;3M;16;TRUE;DE
3M-20;3M;17;TRUE;DE
3M-07;3M;18;TRUE;DE
3M-16;3M;19;TRUE;DE
3M-14;3M;20;TRUE;DE
3M-22;3M;21;TRUE;DE
3M-01;3M;22;TRUE;DE
3M-06;3M;23;TRUE;DE
3OB-11;3OB;1;TRUE;DE
3OB-12;3OB;2;TRUE;DE
3OB-07;3OB;3;TRUE;DE
3OB-06;3OB;4;TRUE;DE
3OB-17;3OB;5;TRUE;DE
3OB-04;3OB;6;TRUE;DE
3OB-05;3OB;7;TRUE;DE
3OB-21;3OB;8;TRUE;DE
3OB-18;3OB;9;TRUE;DE
3OB-03;3OB;10;TRUE;DE
3OB-10;3OB;11;TRUE;DE
3OB-08;3OB;12;TRUE;DE
3OB-20;3OB;13;TRUE;DE
3OB-22;3OB;14;TRUE;DE
3OB-01;3OB;15;TRUE;DE
3OB-14;3OB;16;TRUE;DE
3OB-16;3OB;17;TRUE;DE
3OB-09;3OB;18;TRUE;DE
3OB-13;3OB;19;TRUE;DE
3OB-19;3OB;20;TRUE;DE
3OB-15;3OB;21;TRUE;DE
3OB-23;3OB;22;TRUE;DE
3OB-02;3OB;23;TRUE;DE
